datetime,Surface_temperature,Layer1_temperature,Layer2_temperature,Layer3_temperature
2030-01-01 00:00:00,-7.265883,-5.272344,-2.7787092,-1.1085572
2030-01-01 01:00:00,-7.265883,-5.272344,-2.7787092,-1.1085572
2030-01-01 02:00:00,-7.1503906,-5.4535284,-3.1753013,-1.4339972
2030-01-01 03:00:00,-8.484322,-6.443265,-3.7412944,-1.9126608
2030-01-01 04:00:00,-9.617476,-7.3167276,-4.3475285,-2.4672043
2030-01-01 05:00:00,-10.230244,-7.6277847,-4.3050246,-2.4189167
2030-01-01 06:00:00,-9.966384,-7.374613,-4.094108,-2.1763065
2030-01-01 07:00:00,-9.836977,-7.5282383,-4.3444834,-2.4099705
2030-01-01 08:00:00,-9.738942,-7.348992,-4.0020304,-2.0695415
2030-01-01 09:00:00,1.6169517,-0.6099338,-2.1216605,-0.294935
2030-01-01 10:00:00,9.412872,4.0736284,-0.7712541,0.92210186
2030-01-01 11:00:00,21.934685,11.835893,1.860917,3.0957
2030-01-01 12:00:00,17.893705,10.274746,2.7773485,3.986652
2030-01-01 13:00:00,22.550163,13.409819,4.208505,5.0363083
2030-01-01 14:00:00,19.777727,12.310215,4.783316,5.4454637
2030-01-01 15:00:00,9.53939,7.3567777,5.1328416,5.7844863
2030-01-01 16:00:00,0.85049224,3.419785,5.9207397,6.3962708
2030-01-01 17:00:00,-0.88695335,2.9045722,6.58958,6.879233
2030-01-01 18:00:00,-1.7503601,2.857348,7.3590546,7.3767867
2030-01-01 19:00:00,-0.84568506,3.4765658,7.6578336,7.5598016
2030-01-01 20:00:00,-1.1767359,3.0968099,7.267704,7.0994387
2030-01-01 21:00:00,-0.90986663,2.8851082,6.5410466,6.4098973
2030-01-01 22:00:00,-0.38195968,3.105877,6.3267055,6.010871
2030-01-01 23:00:00,-0.13637221,2.8961754,5.7398095,5.482529
2030-01-02 00:00:00,1.0724632,3.0174742,4.573636,4.068973
2030-01-02 01:00:00,0.5242442,2.0618126,3.1618457,2.4970257
2030-01-02 02:00:00,-1.3643184,0.53319746,1.8726301,1.1247833
2030-01-02 03:00:00,0.13832915,1.10666,1.4225996,0.59034526
2030-01-02 04:00:00,-1.3441352,-0.031173766,0.5962655,-0.3196215
2030-01-02 05:00:00,-1.2092962,-0.12163394,0.055257346,-0.9177016
2030-01-02 06:00:00,-1.6126665,-0.5556879,-0.19465694,-1.0755639
2030-01-02 07:00:00,-0.011501403,0.31705424,-0.26676154,-1.2851988
2030-01-02 08:00:00,1.1827028,1.1580496,0.4171897,-0.4988884
2030-01-02 09:00:00,9.65351,5.8478265,1.3074716,0.38943756
2030-01-02 10:00:00,21.673174,13.579522,5.068962,4.5124083
2030-01-02 11:00:00,25.862032,15.998699,5.836847,5.2808323
2030-01-02 12:00:00,32.28021,19.972187,7.6191773,7.2750793
2030-01-02 13:00:00,29.409174,18.913944,8.350608,7.9892116
2030-01-02 14:00:00,25.435787,17.894428,10.278691,10.085388
2030-01-02 15:00:00,21.498165,16.264233,10.808679,10.628747
2030-01-02 16:00:00,13.261456,12.111293,10.796904,10.586966
2030-01-02 17:00:00,8.979142,10.487649,11.712914,11.451416
2030-01-02 18:00:00,4.713218,8.212249,11.51447,11.398076
2030-01-02 19:00:00,2.5078626,6.7753353,10.772621,10.581682
2030-01-02 20:00:00,3.0012784,6.730952,10.257621,10.076761
2030-01-02 21:00:00,2.4791813,6.521754,10.614541,10.7169075
2030-01-02 22:00:00,1.1593549,5.2339854,9.256904,9.304003
2030-01-02 23:00:00,-1.325494,3.0885139,7.459948,7.662078
2030-01-03 00:00:00,0.61944205,3.8269365,7.1867332,7.490248
2030-01-03 01:00:00,0.2558898,3.0030107,5.9053097,6.114024
2030-01-03 02:00:00,-1.2826422,1.5690523,4.6573324,5.0751595
2030-01-03 03:00:00,-1.556577,0.89668936,3.5706697,3.880811
2030-01-03 04:00:00,-2.0767107,0.39997882,3.097579,3.4474168
2030-01-03 05:00:00,-3.1315417,-0.27826327,2.7722638,3.1172416
2030-01-03 06:00:00,-3.2282903,-0.40225685,2.6974442,3.1661482
2030-01-03 07:00:00,-1.932181,0.21665888,2.7814114,3.1681995
2030-01-03 08:00:00,0.2067697,1.569653,3.3600857,3.8113883
2030-01-03 09:00:00,10.524645,7.5042567,4.9361444,5.3104463
2030-01-03 10:00:00,16.486366,10.823459,5.6199617,6.179367
2030-01-03 11:00:00,25.160465,16.32119,7.8487725,8.384957
2030-01-03 12:00:00,22.077526,15.018752,8.366667,8.914523
2030-01-03 13:00:00,22.282907,15.548896,9.333303,10.009048
2030-01-03 14:00:00,22.091629,16.25898,10.841295,11.44353
2030-01-03 15:00:00,20.602312,16.425798,12.495013,12.934032
2030-01-03 16:00:00,17.339432,15.0943165,13.175289,13.669849
2030-01-03 17:00:00,8.28935,10.055782,12.23212,12.635076
2030-01-03 18:00:00,4.0512433,7.8681808,11.780219,11.898377
2030-01-03 19:00:00,3.0588248,7.048093,11.222253,11.360738
2030-01-03 20:00:00,2.275882,6.5466423,11.0669565,11.356227
2030-01-03 21:00:00,1.6932615,5.8259335,10.237307,10.62051
2030-01-03 22:00:00,0.04228174,4.1342883,8.170316,8.200042
2030-01-03 23:00:00,-0.8594295,3.1435513,7.1456876,7.3664103
2030-01-04 00:00:00,-1.2473474,2.140775,5.5781603,5.8623114
2030-01-04 01:00:00,-1.2782434,1.1264488,3.5966477,3.6967957
